user_id,attr,review_frequency,review_count,review1,review2,review3,review4,review5
411,1,0.000378644,1,-1,-1,-1,-1,-1
420,1,0.031521243,69,8,26,3,14,18
435,1,0.029693487,31,0,0,0,14,17
447,1,0.004927842,14,0,0,0,6,8
448,1,0.185069984,119,16,78,19,1,5
450,1,0.027078256,100,50,7,12,28,3
451,1,0.007968127,18,0,0,0,0,18
452,1,0.142126789,278,44,0,105,60,69
453,1,0.007254677,19,0,12,1,1,5
455,1,0.016902944,62,0,29,21,9,3
456,1,0.012810658,50,0,7,1,25,17
462,1,0.094664372,110,51,13,21,15,10
463,1,0.004529441,9,3,0,5,0,1
466,1,0.006369427,5,0,0,4,0,1
474,1,0.028942486,78,60,17,0,0,1
475,1,0.013599275,15,0,0,9,0,6
476,1,0.005102041,12,0,7,0,4,1
487,1,0.005904455,11,0,1,2,2,6
494,1,0.110521662,250,142,62,14,0,32
495,1,0.046428571,104,11,62,17,6,8
497,1,0.017662533,47,0,17,15,8,7
501,1,0.033457249,27,3,0,5,16,3
502,1,0.012883436,21,0,9,0,5,7
514,1,0.015743073,50,1,3,24,1,21
515,1,0.144458281,116,61,23,10,7,15
522,1,0.004381161,4,0,0,0,0,4
525,1,0.188503804,223,55,122,27,9,10
526,0,0.011824324,21,1,11,2,2,5
534,1,0.015491453,29,0,0,9,17,3
535,1,0.016688062,26,0,1,2,20,3
536,1,0.028941356,38,23,3,7,2,3
537,1,0.111984283,228,30,51,50,35,62
538,1,0.020981789,53,4,16,12,19,2
545,1,0.01754386,37,22,1,2,0,12
547,0,0.009041591,10,0,0,1,0,9
549,1,0.00643915,10,6,0,0,3,1
550,0,0.002360346,3,0,0,0,0,3
567,1,0.023022432,78,9,22,25,8,14
570,1,0.138850889,406,2,273,114,15,2
576,1,0.006637902,20,4,1,1,5,9
579,1,0.002932551,1,-1,-1,-1,-1,-1
581,1,0.00467886,11,0,0,0,1,10
606,1,0.071428571,1,-1,-1,-1,-1,-1
608,1,0.003535651,12,1,0,0,0,11
612,1,0.002742544,8,1,0,0,2,5
613,1,0.017743555,53,0,0,39,4,10
614,1,0.006353861,13,0,0,0,0,13
615,1,0.011308562,35,2,12,12,5,4
620,1,0.004070556,12,0,0,0,0,12
621,1,0.027508091,34,0,1,11,8,14
622,1,0.006405426,17,0,0,1,4,12
625,1,0.006877579,30,7,9,0,0,14
628,0,0.001612253,4,1,1,1,0,1
636,1,0.023574387,74,6,19,2,13,34
639,1,0.004665112,14,0,5,1,1,7
641,1,0.006063669,12,1,1,1,1,8
643,1,0.024602574,65,0,8,15,17,25
644,1,0.002019522,6,0,2,1,1,2
647,1,0.020424195,26,2,1,8,6,9
650,1,0.034946237,78,3,12,30,28,5
651,1,0.014298481,48,4,8,22,6,8
656,1,0.023514212,91,7,40,13,22,9
660,1,0.005400098,22,21,0,0,0,1
664,1,0.01130742,32,0,9,11,6,6
672,1,0.024316109,40,6,18,7,4,5
673,1,0.006427916,14,0,0,4,0,10
676,1,0.013731826,17,0,13,0,0,4
680,1,0.037183544,47,23,0,1,17,6
683,1,0.041301969,151,65,30,21,31,4
688,1,0.010848126,22,2,10,7,2,1
689,1,0.184234647,402,0,0,7,290,105
690,1,0.046369427,182,18,9,12,71,72
693,1,0.005978685,23,0,3,0,16,4
694,1,0.012149533,13,0,0,0,0,13
700,1,0.004577275,17,3,1,7,4,2
701,1,0.004710145,13,12,0,0,0,1
705,1,0.026479751,34,0,8,7,6,13
707,0,0.010869565,1,-1,-1,-1,-1,-1
708,1,0.001835424,6,0,0,0,0,6
713,1,0.003913894,4,0,0,0,0,4
717,1,0.005277045,14,0,4,0,3,7
718,1,0.008858268,9,0,0,0,2,7
720,1,0.005152596,13,0,0,2,8,3
722,1,0.103171247,488,144,196,106,28,14
723,1,0.014084507,7,0,0,0,0,7
725,1,0.215081405,502,3,0,81,202,216
732,1,0.046148738,139,14,35,34,29,27
734,1,0.005706134,20,2,0,3,9,6
745,1,0.005756579,14,7,5,1,0,1
762,1,0.077223427,178,8,5,99,52,14
763,1,0.013680782,42,0,24,7,0,11
764,1,0.056776557,155,100,25,23,4,3
767,1,0.023457135,84,27,15,8,22,12
768,1,0.005490196,7,0,0,1,1,5
772,1,0.083367726,202,0,105,38,37,22
774,1,0.010176594,34,17,10,0,0,7
779,1,0.003035823,5,0,0,0,1,4
783,1,0.083333333,174,1,0,44,74,55
790,1,0.00259434,11,6,2,0,0,3
791,1,0.019413287,45,0,0,0,1,44
792,1,0.015291402,53,8,5,14,2,24
794,1,0.005079826,7,0,2,0,2,3
795,1,0.010832769,16,0,0,0,10,6
796,1,0.00569653,11,0,0,0,2,9
797,1,0.007979936,35,6,8,18,0,3
798,1,0.015763168,41,32,3,2,1,3
802,1,0.125748503,21,0,0,0,0,21
809,1,0.006637168,24,5,11,7,0,1
820,1,0.00524109,15,0,0,0,0,15
821,1,0.054692775,162,2,43,66,29,22
825,1,0.014754098,18,0,0,0,16,2
827,1,0.157504632,255,45,72,63,37,38
833,1,0.00330033,11,6,1,0,0,4
835,1,0.019655358,73,0,12,8,40,13
836,1,0.010705057,29,8,11,5,4,1
845,1,0.009117083,19,0,7,9,1,2
847,1,0.014293277,54,10,11,5,2,26
848,1,0.038752363,82,4,0,30,46,2
850,1,0.030260708,65,1,0,20,25,19
851,1,0.06777217,94,43,31,5,10,5
852,1,0.045181786,128,2,18,25,67,16
854,1,0.04721166,149,37,72,37,2,1
855,1,0.00418629,16,12,0,1,1,2
866,1,0.029286475,110,2,23,15,23,47
868,1,0.018828452,27,12,0,3,11,1
869,1,0.009153953,33,3,8,14,1,7
871,1,0.007418856,24,0,0,0,13,11
873,1,0.016759777,48,0,7,22,15,4
877,1,0.00560028,16,3,2,3,4,4
879,1,0.003747658,12,0,0,0,5,7
885,1,0.001060445,2,0,1,0,0,1
893,1,0.002645503,1,-1,-1,-1,-1,-1
898,1,0.358974359,42,19,12,7,0,4
904,1,0.020408163,49,0,1,4,39,5
907,1,0.338004671,1013,51,307,303,173,179
908,1,0.000394477,1,-1,-1,-1,-1,-1
909,1,0.003992016,8,0,0,0,0,8
911,1,0.0260631,38,9,14,9,0,6
918,1,0.011517276,23,0,14,1,4,4
923,1,0.004575163,14,0,0,0,12,2
924,1,0.00189179,5,3,0,0,0,2
925,1,0.007640317,26,1,1,16,0,8
928,1,0.003417455,13,6,4,0,0,3
936,0,0.071696094,134,25,67,22,14,6
937,1,0.013101604,49,34,11,1,2,1
938,1,0.014475271,24,0,9,0,9,6
943,1,0.010677467,29,0,0,0,13,16
947,1,0.013836478,22,10,0,8,2,2
952,1,0.009889799,35,0,0,2,9,24
954,1,0.002908856,9,6,0,0,0,3
961,1,0.099482148,365,86,107,66,65,41
967,1,0.036663611,120,0,0,35,0,85
974,1,0.252204586,143,15,38,39,27,24
975,1,0.070075758,37,20,3,7,0,7
977,1,0.012390294,24,0,3,15,2,4
983,1,0.010182208,38,4,4,0,14,16
984,1,0.00440044,12,0,0,0,8,4
986,1,0.003355705,7,0,0,6,0,1
987,1,0.001332623,5,0,0,2,2,1
995,1,0.01556196,27,0,22,3,1,1
998,1,0.0472103,22,2,14,0,0,6
999,1,0.012643678,33,0,0,25,0,8
1000,1,0.015294118,26,0,15,8,1,2
1003,1,0.080631399,189,80,54,28,18,9
1008,1,0.026408451,60,26,14,5,0,15
1013,1,0.008316008,16,4,7,4,0,1
1020,1,0.012022631,17,0,0,9,0,8
1021,1,0.038359788,145,39,73,15,11,7
1022,1,0.016435354,45,0,10,10,11,14
1024,1,0.29807217,603,255,98,81,60,109
1025,1,0.048972189,81,38,34,3,2,4
1028,1,0.002188184,3,0,0,1,0,2
1031,1,0.080198722,339,18,41,111,110,59
1032,1,0.10443038,198,7,17,100,58,16
1034,1,0.002965599,5,0,1,0,0,4
1040,1,0.020728853,62,13,18,9,6,16
1044,1,0.030376671,25,0,0,20,0,5
1059,1,0.04112337,123,25,11,25,31,31
1061,1,0.059738423,169,114,31,18,5,1
1063,1,0.020245842,28,3,7,10,3,5
1067,1,0.011913104,17,0,0,3,0,14
1073,1,0.005999077,13,0,0,4,4,5
1074,1,0.025200775,91,3,0,30,25,33
1082,1,0.010685335,29,6,3,6,10,4
1086,1,0.020661157,50,4,18,10,0,18
1089,1,0.004057428,13,5,4,0,0,4
1097,1,0.018181818,8,3,0,3,1,1
1101,1,0.012786361,24,7,4,1,2,10
1102,1,0.00124792,3,0,0,0,1,2
1103,1,0.00258565,8,0,1,1,3,3
1105,1,0.01061008,4,1,0,0,1,2
1110,1,0.002671119,8,2,0,0,5,1
1117,1,0.026554202,85,2,15,0,10,58
1119,1,0.014485756,30,5,2,0,14,9
1132,1,0.058374793,176,7,4,20,92,53
1135,1,0.037914692,64,5,28,19,6,6
1137,1,0.026236882,35,0,11,1,10,13
1144,1,0.058709176,151,7,5,43,49,47
1146,1,0.019702453,49,0,0,0,2,47
1154,1,0.06085044,249,73,66,33,61,16
1163,1,0.01403658,33,0,1,0,24,8
1166,1,0.007189073,10,4,0,2,0,4
1180,1,0.04799807,199,10,40,106,21,22
1185,1,0.012677878,49,0,11,18,16,4
1186,0,0.03671072,25,11,2,3,5,4
1188,1,0.007511096,22,4,8,5,4,1
1189,1,0.009174312,16,0,0,0,8,8
1190,1,0.005995717,14,0,0,0,2,12
1194,1,0.023056653,70,0,11,30,13,16
1196,1,0.003992016,6,0,0,0,4,2
1200,1,0.038195489,127,50,37,15,20,5
1204,1,0.067651263,284,10,49,135,52,38
1205,1,0.10738255,224,27,113,64,14,6
1212,1,0.055702918,21,0,6,4,0,11
1218,1,0.013100437,3,0,0,0,0,3
1222,0,0.008333333,13,0,3,6,1,3
1233,1,0.008314088,36,11,2,0,10,13
1235,1,0.001431127,4,0,0,3,0,1
1238,1,0.016018307,56,0,20,17,0,19
1240,0,0.009557945,16,0,4,2,7,3
1241,1,0.001308044,2,0,0,0,0,2
1245,1,0.005193306,18,0,0,2,12,4
1248,1,0.023912191,61,7,9,22,9,14
1259,1,0.054140127,136,3,1,48,48,36
1270,1,0.028528529,38,0,6,8,14,10
1273,1,0.012004175,23,4,9,0,1,9
1274,1,0.002696456,7,0,2,3,0,2
1284,1,0.006802721,22,5,2,5,1,9
1293,1,0.091317883,264,33,44,70,56,61
1300,1,0.007887818,27,10,2,1,5,9
1304,1,0.005025126,21,13,0,0,0,8
1305,0,0.132075472,7,0,0,3,2,2
1309,1,0.031874662,59,0,7,13,25,14
1310,1,0.075642965,100,0,4,6,0,90
1311,0,0.005577689,14,0,0,1,9,4
1314,1,0.001680672,5,2,0,2,0,1
1317,1,0.005208333,9,0,5,0,0,4
1319,1,0.025108225,58,23,7,10,13,5
1322,1,0.525714286,460,126,117,101,88,28
1325,1,0.005568815,7,0,0,5,0,2
1328,1,0.015465203,62,0,5,19,18,20
1333,1,0.024287716,52,14,21,5,0,12
1334,1,0.00792752,21,3,2,14,1,1
1338,1,0.006238532,17,5,3,5,1,3
1339,0,0.00379562,13,0,0,0,9,4
